STORE NAME,LICENSE ID,ACCOUNT NUMBER,SQUARE FEET,BUFFER SIZE,ADDRESS,ZIP CODE,COMMUNITY AREA NAME,COMMUNITY AREA,WARD,CENSUS TRACT,CENSUS BLOCK,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
ALMUFLIHI FOOD & LIQUOR,62800,86373,4500,B,5404 S HALSTED ST,60609,NEW CITY,61,20,17031612100,170316121001039,1171851.2202830324,1868956.5354627836,41.7958707987,-87.6453441182,"(41.7958707987, -87.6453441182)"
ARISTA FOODS,1473367,271891,10000,A,112 N MAY ST,60607,NEAR WEST SIDE,28,27,17031833000,170318330002084,1168768.8265869268,1900830.15581926,41.8834021216,-87.6557252931,"(41.8834021216, -87.6557252931)"
ATHENS GROCERY,971,185,2600,B,324 S HALSTED ST,60661,NEAR WEST SIDE,28,27,17031833100,170318331001028,1171063.7903605013,1898574.3962069643,41.8771621281,-87.6473642897,"(41.8771621281, -87.6473642897)"
B & H FOOD & GROCERY,6068,3550,4500,B,713 S ALBANY AVE,60612,EAST GARFIELD PARK,27,28,17031837300,170318373001010,1155850.7566169042,1896704.148596631,41.872350043,-87.7032726418,"(41.8723500430, -87.7032726418)"
BARI,1245246,246600,2500,B,1120 W GRAND AVE,60622,WEST TOWN,24,27,17031243500,170312435001021,1168791.2989530063,1903675.7416113815,41.8912101212,-87.6555602414,"(41.8912101212, -87.6555602414)"
BOB'S LIQUORS & GROCERIES,957,86492,10001,A,5069 W MADISON ST,60644,AUSTIN,25,28,17031252201,170312522011000,1142425.3265431207,1899505.1138985374,41.8802960895,-87.7524941982,"(41.8802960895, -87.7524941982)"
BOCKWINKELS,1491357,276156,7200,B,222 N COLUMBUS DR,60601,LOOP,32,42,17031320100,170313201002032,1178260.6232739312,1901977.4529888313,41.886339416,-87.62083615,"(41.8863394160, -87.6208361500)"
BURNHAM PLAZA MART,2014232,350131,2950,B,828 S WABASH AVE,60605,LOOP,32,2,17031320600,170313206002012,1176878.787434362,1896537.8458802076,41.8714441963,-87.6260751303,"(41.8714441963, -87.6260751303)"
CARNICERIA DEL RIO,1801493,314238,3000,B,2714 W CERMAK RD,60608,SOUTH LAWNDALE,30,28,17031840700,170318407003012,1158513.930093316,1889320.5898021401,41.8520347381,-87.6936969081,"(41.8520347381, -87.6936969081)"
CARNICERIA LA GLORIA,1471030,271545,6500,B,2551 W 51ST ST,60632,GAGE PARK,63,14,17031630500,170316305001004,1160008.901705246,1870722.7071781063,41.8009692763,-87.6887220987,"(41.8009692763, -87.6887220987)"
"CARNICERIA LA GLORIA NO. 2, INC.",1514813,279304,7500,B,2744 W 55TH ST,60632,GAGE PARK,63,14,17031630500,170316305003017,1158820.849155428,1868105.5547353695,41.7938118263,-87.6931506024,"(41.7938118263, -87.6931506024)"
CENTRO MARKET,66257,20469,9100,B,5153 S KEDZIE AVE,60632,GAGE PARK,63,14,17031630400,170316304004004,1155963.7604456872,1870068.760318221,41.7992570437,-87.7035747066,"(41.7992570437, -87.7035747066)"
CERMAK PRODUCE,1476657,273150,15000,A,1711 W CERMAK RD,60608,LOWER WEST SIDE,31,25,17031843200,170318432002043,1165248.8668543329,1889420.2405128144,41.8521678636,-87.6689750407,"(41.8521678636, -87.6689750407)"
CERMAK PRODUCE,1770942,311980,17000,A,3311 W 26TH ST,60623,SOUTH LAWNDALE,30,22,17031840800,170318408001003,1154665.2718672096,1886497.8936150398,41.8443667287,-87.7078980538,"(41.8443667287, -87.7078980538)"
CERMAK PRODUCE,1515206,279468,25000,A,5220 S PULASKI RD,60632,WEST ELSDON,62,23,17031620200,170316202001000,1150549.397872218,1869568.6744565165,41.79799187,-87.7234437408,"(41.7979918700, -87.7234437408)"
CERMAK PRODUCE #5 LTD,1649774,298958,10000,A,3435 S ARCHER AVE,60608,MCKINLEY PARK,59,11,17031840300,170318403002016,1163434.4911698306,1881819.8370208899,41.8313499001,-87.6758478479,"(41.8313499001, -87.6758478479)"
CITY GROCERY,1979483,344633,5000,B,405 N WABASH AVE,60611,NEAR NORTH SIDE,8,42,17031081500,170310815003007,1176706.4590198582,1903103.7595416445,41.8894653288,-87.6265092736,"(41.8894653288, -87.6265092736)"
CRESPO'S FOOD MART,40132,15902,2800,B,4353 W MADISON ST,60624,WEST GARFIELD PARK,26,28,17031260600,170312606001001,1147155.4164315423,1899613.733546351,41.880504995,-87.7351228503,"(41.8805049950, -87.7351228503)"
CUPBOARD FOOD & LIQUOR,7110,3758,3000,B,3260 W 55TH ST,60632,GAGE PARK,63,14,17031630300,170316303002035,1155332.318884824,1867998.7006957629,41.7935891795,-87.7059457835,"(41.7935891795, -87.7059457835)"
D & A FOOD & LIQUOR,46444,7945,5500,B,1601 W GARFIELD BLVD,60636,WEST ENGLEWOOD,67,15,17031670300,170316703002005,1166596.81632756,1868070.9267543333,41.793554363,-87.6646375512,"(41.7935543630, -87.6646375512)"
DILILAH GROCERY,1986580,346168,3125,B,1759 W 21ST ST,60608,LOWER WEST SIDE,31,25,17031310800,170313108003012,1164727.4868203881,1890072.172587837,41.8539678804,-87.6708701882,"(41.8539678804, -87.6708701882)"
DOMINICK'S # 1100,41629,5033,10001,A,3145 S ASHLAND AVE,60608,MCKINLEY PARK,59,11,17031840400,170318404001032,1166221.8718805332,1883706.5913302058,41.8364683477,-87.6655669021,"(41.8364683477, -87.6655669021)"
DOMINICK'S #147/1147,41674,5033,68000,A,1340 S CANAL ST,60607,NEAR WEST SIDE,28,2,17031841900,170318419002092,1173296.1226284578,1893985.7049883392,41.8645211937,-87.6393040996,"(41.8645211937, -87.6393040996)"
Dominick's #1703,1574461,5033,49320,A,255 E GRAND AVE,60611,NEAR NORTH SIDE,8,42,17031081403,170310814031010,1178351.1702400555,1903928.0332534548,41.8916898398,-87.6204441348,"(41.8916898398, -87.6204441348)"
DOMINICK'S #1875,1273445,5033,39000,A,1 N HALSTED ST,60661,NEAR WEST SIDE,28,27,17031280100,170312801001038,1171090.9679868314,1900270.4540166913,41.8818156316,-87.647214717,"(41.8818156316, -87.6472147170)"
DOMINICK'S FINER FOODS - STORE # 2775,1820382,5033,54963,A,2021 W CHICAGO AVE,60622,WEST TOWN,24,1,17031243000,170312430001000,1162687.5443539885,1905295.5903337188,41.8957852296,-87.6779308926,"(41.8957852296, -87.6779308926)"
E.M. GROCERIES,4863,3289,4500,B,5358 S CARPENTER ST,60609,NEW CITY,61,16,17031612000,170316120002009,1170189.6270939496,1869037.3793131497,41.7961289732,-87.6514349028,"(41.7961289732, -87.6514349028)"
EL MILAGRO,43513,2718,5500,B,3048 W 26TH ST,60623,SOUTH LAWNDALE,30,12,17031300900,170313009001012,1156243.443139308,1886626.270993506,41.8446873274,-87.702102936,"(41.8446873274, -87.7021029360)"
EUROPA GALLERIA INC,1299537,253902,6500,B,340 W SUPERIOR ST,60610,NEAR NORTH SIDE,8,42,17031081800,170310818002018,1173771.5733286294,1905338.2646616227,41.8956627719,-87.637220715,"(41.8956627719, -87.6372207150)"
FAIRPLAY FINER FOOD,10940,86481,10001,A,2200 S WESTERN AVE,60608,LOWER WEST SIDE,31,25,17031841300,170318413002001,1160669.425627566,1889318.1968219478,41.8519838396,-87.6857857042,"(41.8519838396, -87.6857857042)"
FAIRPLAY FINER FOODS INC,10949,86481,10001,A,4640 S HALSTED ST,60609,NEW CITY,61,11,17031842600,170318426002035,1171712.004883154,1873969.4316081447,41.809629768,-87.6457075651,"(41.8096297680, -87.6457075651)"
FOOD 4 LESS MIDWEST #789,1272529,251246,64486,A,4620 S DAMEN AVE,60609,NEW CITY,61,12,17031610300,170316103003015,1163694.5483752063,1873920.77923312,41.809668528,-87.6751156964,"(41.8096685280, -87.6751156964)"
FRUTERIA EL MERCADO,21239,8832,5500,B,2759 S SPAULDING AVE,60623,SOUTH LAWNDALE,30,22,17031840800,170318408001015,1154858.0081655954,1885248.0532689434,41.8409331636,-87.7072241769,"(41.8409331636, -87.7072241769)"
FURTERIA EL SERRANITO,2031979,352794,2500,B,1755 W 38TH ST,60609,MCKINLEY PARK,59,11,17031590700,170315907001015,1165040.1969612509,1879467.377051791,41.8248606245,-87.6700230192,"(41.8248606245, -87.6700230192)"
GAYTAN GROCERY STORE,85044,81586,3500,B,2802 S KOLIN AVE,60623,SOUTH LAWNDALE,30,22,17031301801,170313018011003,1147806.7621309962,1884970.1252434761,41.8403086304,-87.733107059,"(41.8403086304, -87.7331070590)"
GEMELOS FOOD/ CHECK CASHING SERVICES,1045757,203580,6600,B,4300 S MOZART ST,60632,BRIGHTON PARK,58,14,17031580502,170315805023027,1158040.5491916377,1875978.4508346433,41.815432001,-87.69579779,"(41.8154320010, -87.6957977900)"
GILMART'S  FOOD & LIQUOR,22715,9350,10001,A,5044 S ARCHER AVE,60632,ARCHER HEIGHTS,57,14,17031570300,170315703002016,1149831.6750960744,1870805.5673226255,41.8014000331,-87.7260437419,"(41.8014000331, -87.7260437419)"
GOLDMORE FOOD,34046,14804,2500,B,1949 W 51ST ST,60609,NEW CITY,61,16,17031611700,170316117003002,1164000.6811145658,1870810.7546570639,41.8011278091,-87.6740803441,"(41.8011278091, -87.6740803441)"
HARBOR MARKET,44759,16473,4200,B,155 N HARBOR DR,60601,LOOP,32,42,17031320100,170313201004020,1179690.182993199,1901410.3393839335,41.8847505385,-87.6156039565,"(41.8847505385, -87.6156039565)"
HAREER FOOD & LIQUOR,52337,17625,2500,B,5452 S HALSTED ST,60609,NEW CITY,61,20,17031612100,170316121001043,1171863.4145093353,1868478.6287951402,41.7945591033,-87.6453134277,"(41.7945591033, -87.6453134277)"
HONG KONG MARKET,1892499,64229,46300,A,520 W 24TH PL,60616,ARMOUR SQUARE,34,25,17031841100,170318411003017,1172894.1385008285,1888048.2113696104,41.8482371659,-87.6409555275,"(41.8482371659, -87.6409555275)"
"HYDE PARK PRODUCE, LTD",1884100,325993,10000,A,1226 E 53RD ST,60615,HYDE PARK,41,4,17031410700,170314107001003,1185427.7053456623,1870419.6697596246,41.7995768022,-87.5955129219,"(41.7995768022, -87.5955129219)"
INTERNATIONAL SUPERMARKET INC,16712,6917,7500,B,4556 S ASHLAND AVE,60609,NEW CITY,61,3,17031610400,170316104001000,1166403.2942998728,1874268.6180732348,41.8105656774,-87.6651705169,"(41.8105656774, -87.6651705169)"
JAMAICA FOOD & LIQUOR INC,22679,9341,2500,B,4252 S COTTAGE GROVE AVE,60653,GRAND BOULEVARD,38,4,17031380100,170313801001032,1182280.5445406442,1876753.0926350122,41.8170297652,-87.6068579199,"(41.8170297652, -87.6068579199)"
JARDAN FOOD & LIQUOR,11226,5270,9500,B,317 E GARFIELD BLVD,60637,WASHINGTON PARK,40,3,17031400400,170314004001003,1179170.1946088122,1868452.9110248592,41.7943249341,-87.6185206053,"(41.7943249341, -87.6185206053)"
JEWEL FOOD  STORE # 3345,1142451,259,60271,A,1224 S WABASH AVE,60605,NEAR SOUTH SIDE,33,2,17031330100,170313301001004,1176924.0045922934,1894818.1979320475,41.8667243541,-87.6259611484,"(41.8667243541, -87.6259611484)"
JEWEL FOOD STORE #3043,1144384,259,37641,A,443 E 34TH ST,60616,DOUGLAS,35,4,17031351000,170313510002003,1180118.1943590562,1882571.1097821312,41.8330447382,-87.6146113644,"(41.8330447382, -87.6146113644)"
JEWEL FOOD STORE #3170,1366,259,30374,A,5320 S PULASKI RD,60632,WEST ELSDON,62,23,17031620200,170316202001001,1150568.177099948,1868914.951799974,41.7961975914,-87.7233918834,"(41.7961975914, -87.7233918834)"
JEWEL FOOD STORE #3302,1402,259,25431,A,3644 S ARCHER AVE,60609,MCKINLEY PARK,59,11,17031590500,170315905001037,1161644.3847891467,1880433.810744691,41.8275838968,-87.6824544425,"(41.8275838968, -87.6824544425)"
JEWEL FOOD STORE #3344,1192905,259,63407,A,1220 S ASHLAND AVE,60608,NEAR WEST SIDE,28,2,17031842900,170318429004020,1165876.7323615912,1894558.4346967393,41.8662541761,-87.6665241401,"(41.8662541761, -87.6665241401)"
JEWEL FOOD STORE #3368,1226337,259,31600,A,550 N STATE ST,60610,NEAR NORTH SIDE,8,42,17031081600,170310816001003,1176227.7531051838,1904177.0736727233,41.8924213661,-87.6282348711,"(41.8924213661, -87.6282348711)"
JEWEL FOOD STORE #3721,1225534,259,49513,A,6107 S ARCHER AVE,60638,GARFIELD RIDGE,56,23,17031560800,170315608002027,1137719.7299707269,1868155.8003845508,41.7943548532,-87.7705271521,"(41.7943548532, -87.7705271521)"
K & K FOOD & LIQUOR,62092,23937,4200,B,1130 W 51ST ST,60609,NEW CITY,61,16,17031611000,170316110001031,1169532.159988125,1871017.4682229417,41.8015768439,-87.6537884728,"(41.8015768439, -87.6537884728)"
"Kan-Zaman Mart, Inc.",1119908,209575,4600,B,2005 S MICHIGAN AVE,60616,NEAR SOUTH SIDE,33,2,17031330100,170313301004046,1177567.0324267587,1890666.6479502178,41.855317671,-87.6237265152,"(41.8553176710, -87.6237265152)"
KAPS FOODS,57817,18562,4100,B,3557 S CALIFORNIA AVE,60632,BRIGHTON PARK,58,12,17031580100,170315801001006,1158326.4831652388,1880700.3493313147,41.8283836447,-87.69462017,"(41.8283836447, -87.6946201700)"
LA CASA DEL PUEBLO INC,31675,14392,10001,A,1810 S BLUE ISLAND AVE,60608,LOWER WEST SIDE,31,25,17031310600,170313106002008,1167219.016357534,1891361.4813615354,41.8574527464,-87.6616883311,"(41.8574527464, -87.6616883311)"
LA INTERNATIONAL,57700,18542,3000,B,4301 S ARCHER AVE,60632,BRIGHTON PARK,58,14,17031580502,170315805021004,1156338.8461360813,1875918.037278842,41.8153006937,-87.7020416008,"(41.8153006937, -87.7020416008)"
LA JALISCIENCE,4749,23661,3000,B,3239 W 26TH ST,60623,SOUTH LAWNDALE,30,22,17031840800,170318408001002,1155046.9425476384,1886508.4249456283,41.8443879922,-87.7064970959,"(41.8443879922, -87.7064970959)"
LA MERCED INC,6834,3685,10001,A,4335 W 26TH ST,60623,SOUTH LAWNDALE,30,22,17031301801,170313018012007,1147980.980711077,1886328.4811129442,41.8440327965,-87.7324328647,"(41.8440327965, -87.7324328647)"
"LA NUEVA IMAGEN GROCERY, INC.",1804216,315282,3000,B,2459 S MILLARD AVE,60623,SOUTH LAWNDALE,30,22,17031300600,170313006002001,1152475.4010279817,1887185.506832549,41.8462971046,-87.7159164295,"(41.8462971046, -87.7159164295)"
LA PLAMA,22662,63389,15000,A,4173 S ARCHER AVE,60632,BRIGHTON PARK,58,14,17031580501,170315805012012,1157347.0558745717,1876755.8258401973,41.8175793077,-87.6983205863,"(41.8175793077, -87.6983205863)"
LA PROVIDENCIA FOOD MART,16986,6991,2572,B,1658 W 21ST ST,60608,LOWER WEST SIDE,31,25,17031310800,170313108003010,1165383.8992395352,1890168.8951614066,41.8542193742,-87.6684581591,"(41.8542193742, -87.6684581591)"
LAWNDALE FOOD MARKET,39529,15829,6000,B,3705 W 16TH ST,60623,NORTH LAWNDALE,29,24,17031292200,170312922003000,1151911.1391990148,1891750.0843996857,41.8588339683,-87.7178671863,"(41.8588339683, -87.7178671863)"
LEMEN SUN CORP.,28022,11427,3600,B,2832 S WENTWORTH AVE,60616,ARMOUR SQUARE,34,11,17031340400,170313404001020,1175376.922301567,1885651.26918079,41.8416044818,-87.6319155034,"(41.8416044818, -87.6319155034)"
LORETO GROCERY,76774,22681,4499,B,4600 S FAIRFIELD AVE,60632,BRIGHTON PARK,58,12,17031842800,170318428002005,1158768.527537624,1874004.9008791847,41.8100014783,-87.6931813523,"(41.8100014783, -87.6931813523)"
LOS CUATRO HERMANOS GROCERY,7790,62837,10001,A,1858 S ALLPORT ST,60608,LOWER WEST SIDE,31,25,17031310600,170313106002002,1168296.854135198,1890914.2210547028,41.8562022212,-87.6577449724,"(41.8562022212, -87.6577449724)"
LUCIANO'S GROCERY-18TH ST,1380524,265429,6000,B,1714 W 18TH ST,60608,LOWER WEST SIDE,31,25,17031310800,170313108001010,1165111.7227961887,1891492.252209515,41.8578565675,-87.6694195956,"(41.8578565675, -87.6694195956)"
MARIO 'S BUTCHER SHOP FD CNTR,4248,85432,10001,A,5817 W MADISON ST,60644,AUSTIN,25,29,17031252101,170312521011003,1137524.3342756745,1899380.9512429307,41.8800449808,-87.7704933793,"(41.8800449808, -87.7704933793)"
MARKET IN THE PARK,1334026,258947,5049,B,5050 S LAKE SHORE DR,60615,KENWOOD,39,4,17031390700,170313907003004,1189144.3247518237,1871655.5454706573,41.8028797781,-87.5818436939,"(41.8028797781, -87.5818436939)"
MA'S & PA'S GROCERY SNACK SHOP,7302,3806,4500,B,804 S CALIFORNIA AVE,60612,EAST GARFIELD PARK,27,2,17031271800,170312718001017,1157790.0432509081,1896181.8948431034,41.8708776439,-87.6961668842,"(41.8708776439, -87.6961668842)"
MAYFLOWER FOOD,1168793,17975,6000,B,2104 S ARCHER AVE,60616,ARMOUR SQUARE,34,25,17031841100,170318411001021,1175264.5918291442,1890264.2275429482,41.8542653039,-87.6321895068,"(41.8542653039, -87.6321895068)"
MICELI'S DELI & FOOD MART,44924,16493,4000,B,2448 S OAKLEY AVE,60608,LOWER WEST SIDE,31,25,17031841300,170318413003008,1161387.699220223,1887514.8822139434,41.847020464,-87.6831995522,"(41.8470204640, -87.6831995522)"
MICHAELS FRESH MARKET,2043177,354856,41000,A,1300 E 47TH ST,60653,KENWOOD,39,4,17031390100,170313901001017,1185546.3076600826,1874136.304223178,41.8097727266,-87.5949608909,"(41.8097727266, -87.5949608909)"
MINI MERCADO LA BETANIA,33473,3205,2640,B,2800 S TRIPP AVE,60623,SOUTH LAWNDALE,30,22,17031301803,170313018033002,1148469.2529375516,1885006.7985961474,41.8403965367,-87.7306750125,"(41.8403965367, -87.7306750125)"
MOO & OINK INC,11915,5928,21500,A,4848 W MADISON ST,60644,AUSTIN,25,28,17031251800,170312518004015,1143906.3902417778,1899620.0616423807,41.8805838854,-87.7470529414,"(41.8805838854, -87.7470529414)"
MOROLEON FOODS #2 INC.,1801622,314329,3025,B,4257 S ROCKWELL ST,60632,BRIGHTON PARK,58,12,17031580700,170315807003005,1159787.496931104,1876115.0553754636,41.8157711158,-87.6893858973,"(41.8157711158, -87.6893858973)"
NEW POP-IN,1719179,306063,8784,B,413 S KEDZIE AVE,60612,EAST GARFIELD PARK,27,28,17031271200,170312712001033,1155148.6782666573,1897819.1171161386,41.8754237451,-87.7058203625,"(41.8754237451, -87.7058203625)"
OHIO FOOD MART,1225367,243092,3500,B,5345 W OHIO ST,60644,AUSTIN,25,37,17031251500,170312515002004,1140427.8862632848,1903410.3057540525,41.8910492873,-87.7597328373,"(41.8910492873, -87.7597328373)"
ONE STOP,2032029,352811,2500,B,4401 W MADISON ST,60624,WEST GARFIELD PARK,26,28,17031260500,170312605001000,1147026.5918903935,1899610.8155546752,41.8804994508,-87.735595961,"(41.8804994508, -87.7355959610)"
ONE STOP FOOD & LIQUOR STORE,1094,205,58000,A,4301 S LAKE PARK AVE,60653,KENWOOD,39,4,17031390100,170313901001006,1184507.8863198527,1876712.039424123,41.8168651481,-87.5986888442,"(41.8168651481, -87.5986888442)"
ORLEANS MARKET,23467,9485,3002,B,316 W ILLINOIS ST,60610,NEAR NORTH SIDE,8,42,17031081800,170310818002056,1174028.5037281606,1903591.666749837,41.8908642852,-87.6363291879,"(41.8908642852, -87.6363291879)"
OUTLET KINGDOM,2054475,356046,4000,B,3449 S HALSTED ST,60608,BRIDGEPORT,60,11,17031839700,170318397002011,1171577.6413118422,1881783.3788749278,41.8310749437,-87.6459711122,"(41.8310749437, -87.6459711122)"
"PARK PACKING OF CHICAGO, INC.",2008956,340517,3500,B,1544 W 41ST ST,60609,NEW CITY,61,11,17031842600,170318426002022,1166633.854413612,1877402.1258977633,41.8191594443,-87.6642353554,"(41.8191594443, -87.6642353554)"
PARKSHORE MARKET LTD,26464,10858,2860,B,195 N HARBOR DR,60601,LOOP,32,42,17031320100,170313201004007,1179687.020546456,1901930.2536645876,41.8861772806,-87.6155996011,"(41.8861772806, -87.6155996011)"
PEORIA PACKING LTD,33970,14795,8000,B,1300 W LAKE ST,60607,NEAR WEST SIDE,28,27,17031833000,170318330002051,1167882.5854297176,1901616.9942708253,41.88558042,-87.6589569108,"(41.8855804200, -87.6589569108)"
PERSONAL LIQUORS INC,8913,4189,6000,B,4241 W MADISON ST,60624,WEST GARFIELD PARK,26,28,17031260600,170312606001000,1147946.9192404214,1899631.7285353527,41.8805391992,-87.7322160373,"(41.8805391992, -87.7322160373)"
PETE'S FRESH SUPERMARKET,1771242,312119,75000,A,2526 W CERMAK RD,60608,SOUTH LAWNDALE,30,28,17031840700,170318407003019,1159779.4669181067,1889354.0715093752,41.8521006532,-87.6890511106,"(41.8521006532, -87.6890511106)"
RICHWELL MARKET,1070189,205927,7500,B,1835 S CANAL ST,60616,LOWER WEST SIDE,31,25,17031843200,170318432002008,1173469.3263424023,1891121.2873226057,41.8566571782,-87.6387533453,"(41.8566571782, -87.6387533453)"
RIGO'S GROCERY,1144306,215370,2500,B,2858 S LAWNDALE AVE,60623,SOUTH LAWNDALE,30,22,17031301702,170313017023004,1152136.5843694105,1884500.8487286288,41.8389367453,-87.7172305546,"(41.8389367453, -87.7172305546)"
RODRIGUEZ FRUITS & VEGETABLE,18231,7487,2626,B,2458 S ST LOUIS AVE,60623,SOUTH LAWNDALE,30,22,17031300700,170313007003004,1153392.176528934,1887204.0526751836,41.8463298609,-87.7125513997,"(41.8463298609, -87.7125513997)"
ROYLA BLUE FOODS,27007,63611,2500,B,4359 S CAMPBELL AVE,60632,BRIGHTON PARK,58,12,17031580700,170315807003013,1160464.1704940537,1875452.0040422697,41.8139376802,-87.686922014,"(41.8139376802, -87.6869220140)"
SAVE-A-LOT  #859,1272455,216203,12000,A,420 S PULASKI RD,60624,WEST GARFIELD PARK,26,24,17031260700,170312607002016,1149764.9433465141,1897457.3459149937,41.8745373122,-87.7255969017,"(41.8745373122, -87.7255969017)"
SAVE-A-LOT  #862,1353496,216203,14800,A,4701 S COTTAGE GROVE AVE,60615,KENWOOD,39,4,17031390400,170313904002002,1182423.8619622332,1874006.3789493397,41.8094892465,-87.6064174294,"(41.8094892465, -87.6064174294)"
SAVEWAY FOOD,1594450,290756,3000,B,313 E 43RD ST,60653,GRAND BOULEVARD,38,3,17031835800,170318358001004,1178918.696193015,1876526.8703099578,41.8164863247,-87.6191968314,"(41.8164863247, -87.6191968314)"
"SEVEN NINE ELEVEN FOOD MART, INC.",2036,401,4300,B,4884 S ARCHER AVE,60632,ARCHER HEIGHTS,57,14,17031570400,170315704002008,1151496.512405212,1871991.2033628854,41.8046211506,-87.7199070655,"(41.8046211506, -87.7199070655)"
SHOP & SAVE MARKET,1991275,338404,63426,A,5829 S ARCHER AVE,60638,GARFIELD RIDGE,56,23,17031560700,170315607002039,1140672.648412313,1868781.9760705472,41.7960196245,-87.7596833672,"(41.7960196245, -87.7596833672)"
SOLID GOLD,1490386,203033,3300,B,3821 W ROOSEVELT RD,60624,NORTH LAWNDALE,29,24,17031838700,170318387001005,1151058.508087893,1894398.9495206943,41.866119494,-87.720927574,"(41.8661194940, -87.7209275740)"
SUNRISE FOOD AND LIQUORS,21927,9067,7000,B,3737 W CHICAGO AVE,60651,HUMBOLDT PARK,23,27,17031231500,170312315006001,1151180.725291618,1905039.0761993781,41.895314759,-87.7201998415,"(41.8953147590, -87.7201998415)"
SUPER DOLLAR DISCOUNT,2032403,353027,3500,B,4801 S ASHLAND AVE,60609,NEW CITY,61,20,17031611200,170316112002007,1166523.0076939159,1872858.6184143526,41.8066939242,-87.6647716526,"(41.8066939242, -87.6647716526)"
SUPER FURNITURE & FOOD MART,2060727,357170,4000,B,5257 S ASHLAND AVE,60609,NEW CITY,61,16,17031611900,170316119001005,1166612.1687413086,1869626.4543659552,41.7978225881,-87.6645368783,"(41.7978225881, -87.6645368783)"
SUPER MAS MARKET,1997806,347422,32000,A,1422 W 47TH ST,60609,NEW CITY,61,3,17031842600,170318426002060,1167499.0144743386,1873621.1325798563,41.8087654583,-87.6611701084,"(41.8087654583, -87.6611701084)"
